,url,website,cluster_dbscan,pca_cluster_dbscan,cluster_hdbscan,pca_cluster_hdbscan
0,data.eastmoney.com/report/,stock.eastmoney.com,0,0,173,173
1,data.eastmoney.com/report/zw_stock.jshtml?encodeUrl=zXF5Zl6XRyYdSx1spWVTCqDhUpdvWCPeqRcR2Jjm0qE=,stock.eastmoney.com,-1,-1,3,3
2,data.eastmoney.com/report/zw_stock.jshtml?encodeUrl=zXF5Zl6XRyYdSx1spWVTChdplNKYIkjb+RNQRDyrJCo=,stock.eastmoney.com,-1,-1,3,3
3,data.eastmoney.com/report/,stock.eastmoney.com,0,0,173,173
4,data.eastmoney.com/zjlx/detail.html,stock.eastmoney.com,1,1,222,215
5,data.eastmoney.com/cjsj/gpkhsj.html,stock.eastmoney.com,1,1,222,215
6,data.eastmoney.com/cjsj/gpjytj.html,stock.eastmoney.com,1,1,222,215
7,data.eastmoney.com/bkzj/hy.html,stock.eastmoney.com,2,2,191,183
8,quote.eastmoney.com/center/gridlist.html#futures_cffex,stock.eastmoney.com,3,3,223,218
9,quote.eastmoney.com/center/qqzs.html,stock.eastmoney.com,4,4,165,157
10,zqhd.18.cn/index.html?ad_id=web_kh_dcsy_jycdl_01_01_01_1,stock.eastmoney.com,5,5,39,41
11,data.eastmoney.com/zjlx/dpzjlx.html,stock.eastmoney.com,1,1,222,215
12,data.eastmoney.com/bbsj/,stock.eastmoney.com,6,6,152,151
13,fund.eastmoney.com/,stock.eastmoney.com,7,7,98,92
14,quote.eastmoney.com/zixuan/?from=favor,stock.eastmoney.com,8,8,218,211
15,quote.eastmoney.com/center/gridlist.html#gem_board,stock.eastmoney.com,9,9,225,219
16,quote.eastmoney.com/center/gridlist.html#neeq_stocks,stock.eastmoney.com,10,10,204,202
17,quote.eastmoney.com/center/gridlist.html#hkah_comparison,stock.eastmoney.com,11,11,227,224
18,blog.eastmoney.com/ldtc/blog_1017423611.html,stock.eastmoney.com,-1,-1,111,106
19,quote.eastmoney.com/center/gridlist.html?st=ChangePercent&sortType=G&sortRule=-1#sh_a_board,stock.eastmoney.com,12,12,67,72
20,quote.eastmoney.com/center/gridlist.html?st=ChangePercent&sortType=G&sortRule=-1#sz_a_board,stock.eastmoney.com,12,12,67,72
21,data.eastmoney.com/bkzj/gn.html,stock.eastmoney.com,2,2,191,183
22,data.eastmoney.com/bkzj/dy.html,stock.eastmoney.com,2,2,191,183
23,passport2.eastmoney.com/pub/login?backurl=http%3A%2F%2Fi.eastmoney.com%2F,stock.eastmoney.com,13,13,56,56
24,quote.eastmoney.com/center/boardlist.html#boards-BK05001,stock.eastmoney.com,14,14,80,94
25,quote.eastmoney.com/center/boardlist.html#boards-BK07011,stock.eastmoney.com,14,14,80,94
26,quote.eastmoney.com/center/boardlist.html?st=ChangePercent&sortRule=0#industry_board,stock.eastmoney.com,15,15,61,60
27,quote.eastmoney.com/center/boardlist.html?st=ChangePercent&sortRule=0#concept_board,stock.eastmoney.com,16,16,60,61
28,quote.eastmoney.com/center/boardlist.html?st=ChangePercent&sortRule=0#region_board,stock.eastmoney.com,17,17,59,59
29,data.eastmoney.com/xg/xg/default.html,stock.eastmoney.com,18,18,199,197
30,quote.eastmoney.com/center/gridlist.html#newshares,stock.eastmoney.com,19,19,190,190
31,data.eastmoney.com/xg/xg/calendar.html,stock.eastmoney.com,20,20,200,198
32,data.eastmoney.com/xg/gh/default.html,stock.eastmoney.com,18,18,199,197
33,quote.eastmoney.com/center/gridlist.html#us_medicine_food,stock.eastmoney.com,21,21,170,170
34,quote.eastmoney.com/center/gridlist.html#us_automotive_energy,stock.eastmoney.com,22,22,171,171
35,video.eastmoney.com/,stock.eastmoney.com,23,23,112,101
36,global.eastmoney.com/,stock.eastmoney.com,24,24,105,93
37,data.eastmoney.com/report/ylyc.html,stock.eastmoney.com,1,1,222,215
38,data.eastmoney.com/report/hyyb.html,stock.eastmoney.com,1,1,222,215
39,data.eastmoney.com/report/clbg.html,stock.eastmoney.com,1,1,222,215
40,data.eastmoney.com/dxf/default.html,stock.eastmoney.com,1,1,222,215
41,data.eastmoney.com/stockcomment/,stock.eastmoney.com,25,25,166,156
42,quote.eastmoney.com/center/,stock.eastmoney.com,26,26,123,118
43,jigou.eastmoney.com/stock.html,stock.eastmoney.com,27,27,175,175
44,mingjia.eastmoney.com/stock.html,stock.eastmoney.com,28,28,180,180
45,data.eastmoney.com/report/,stock.eastmoney.com,0,0,173,173
46,data.eastmoney.com/executive/,stock.eastmoney.com,29,29,153,153
47,quote.eastmoney.com/center/boardlist.html#boards-BK06111,stock.eastmoney.com,14,14,80,94
48,quote.eastmoney.com/center/gridlist.html?st=ChangePercent&sortType=C&sortRule=-1#sh_a_board,stock.eastmoney.com,12,12,67,72
49,quote.eastmoney.com/center/gridlist.html?st=ChangePercent&sortType=C&sortRule=-1#sz_a_board,stock.eastmoney.com,12,12,67,72
50,zqhd.18.cn/index.html?ad_id=web_kh_dcsy_dbtkwzl_01_01_01_0,stock.eastmoney.com,30,30,39,41
51,kuaixun.eastmoney.com/,stock.eastmoney.com,31,31,79,71
52,topic.eastmoney.com/lj021/,stock.eastmoney.com,-1,-1,50,50
53,topic.eastmoney.com/jldssy/,stock.eastmoney.com,-1,-1,123,118
54,guba.eastmoney.com/,stock.eastmoney.com,7,7,98,92
55,finance.eastmoney.com/yaowen.html,stock.eastmoney.com,32,32,174,174
56,www.eastmoney.com/,stock.eastmoney.com,33,33,84,81
57,fund.eastmoney.com/,stock.eastmoney.com,7,7,98,92
58,topic.eastmoney.com/,stock.eastmoney.com,34,34,86,67
59,caifuhao.eastmoney.com/,stock.eastmoney.com,35,35,70,77
60,choice.eastmoney.com/?adid=1435,stock.eastmoney.com,-1,-1,-1,-1
61,data.eastmoney.com/xg/xg/chart/cyb/price.html,stock.eastmoney.com,36,36,235,232
62,data.eastmoney.com/xg/xg/default.html?stat=3,stock.eastmoney.com,37,37,139,135
63,data.eastmoney.com/xg/xg/chart/cyb/fxsyl.html,stock.eastmoney.com,36,36,235,232
64,data.eastmoney.com/xg/gh/default.html?mkt=3,stock.eastmoney.com,38,38,140,134
65,data.eastmoney.com/xg/xg/default.html?mkt=cyb,stock.eastmoney.com,39,39,178,178
66,data.eastmoney.com/xg/xg/chart/cyb/sssr.html,stock.eastmoney.com,40,40,236,233
67,data.eastmoney.com/xg/xg/chart/cyb/zql.html,stock.eastmoney.com,41,41,234,231
68,data.eastmoney.com/hsgt/,stock.eastmoney.com,6,6,152,151
69,data.eastmoney.com/xg/xg/chart/cyb/mzze.html,stock.eastmoney.com,40,40,236,233
70,data.eastmoney.com/kzz/default.html,stock.eastmoney.com,1,1,222,215
71,quote.eastmoney.com/center/gridlist.html#gem_board,stock.eastmoney.com,9,9,225,219
72,data.eastmoney.com/stockcomment/mkt6.html,stock.eastmoney.com,42,42,138,143
73,data.eastmoney.com/report/profitforecast.jshtml?market=gem,stock.eastmoney.com,43,43,160,146
74,data.eastmoney.com/gzqh/default.html,stock.eastmoney.com,44,44,226,223
75,data.eastmoney.com/IF/Data/Contract.html?va=IF,stock.eastmoney.com,45,45,37,38
76,data.eastmoney.com/ifdata/jcjz.html#113_6,stock.eastmoney.com,46,46,120,122
77,data.eastmoney.com/IF/Data/Member.html,stock.eastmoney.com,47,47,52,54
78,data.eastmoney.com/IF/Data/Volume.html,stock.eastmoney.com,47,47,52,54
79,fund.eastmoney.com/trade/default.html,stock.eastmoney.com,48,48,232,229
80,fundlc.eastmoney.com/,stock.eastmoney.com,49,49,82,79
81,emhd2.eastmoney.com/market/,stock.eastmoney.com,50,50,62,62
82,about.eastmoney.com/home/disclaimer,stock.eastmoney.com,51,51,179,179
83,about.eastmoney.com/home/legal,stock.eastmoney.com,52,52,158,160
84,about.eastmoney.com/home/parper,stock.eastmoney.com,53,53,163,163
85,about.eastmoney.com/home/links,stock.eastmoney.com,52,52,158,160
86,about.eastmoney.com/,stock.eastmoney.com,54,54,87,68
87,xinsanban.eastmoney.com/,stock.eastmoney.com,55,55,78,78
