,ts_code,symbol,name,counts,ab_counts,if_ab
0,000001.SZ,1,平安银行,5,0,0
1,000002.SZ,2,万科A,1,0,0
5,000007.SZ,7,全新好,1,18,1
12,000016.SZ,16,深康佳A,1,0,0
15,000020.SZ,20,深华发A,1,0,0
16,000021.SZ,21,深科技,11,0,0
23,000030.SZ,30,富奥股份,4,0,0
44,000061.SZ,61,农产品,2,0,0
46,000063.SZ,63,中兴通讯,9,0,0
47,000065.SZ,65,北方国际,2,9,1
59,000150.SZ,150,宜华健康,1,6,1
70,000338.SZ,338,潍柴动力,1,0,0
72,000401.SZ,401,冀东水泥,1,0,0
81,000413.SZ,413,东旭光电,1,0,0
89,000423.SZ,423,东阿阿胶,1,0,0
94,000430.SZ,430,张家界,1,0,0
95,000488.SZ,488,晨鸣纸业,1,10,1
122,000532.SZ,532,华金资本,8,0,0
127,000538.SZ,538,云南白药,11,0,0
133,000545.SZ,545,金浦钛业,2,4,1
137,000550.SZ,550,江铃汽车,2,2,1
167,000591.SZ,591,太阳能,4,18,1
171,000596.SZ,596,古井贡酒,6,0,0
179,000606.SZ,606,顺利办,1,13,1
185,000612.SZ,612,焦作万方,1,18,1
186,000613.SZ,613,大东海A,2,18,1
187,000615.SZ,615,奥园美谷,1,1,1
194,000625.SZ,625,长安汽车,9,0,0
196,000627.SZ,627,天茂集团,2,0,0
199,000630.SZ,630,铜陵有色,1,0,0
209,000651.SZ,651,格力电器,3,0,0
212,000656.SZ,656,金科股份,3,0,0
231,000681.SZ,681,视觉中国,1,1,1
233,000683.SZ,683,远兴能源,4,1,1
257,000716.SZ,716,黑芝麻,1,0,0
259,000718.SZ,718,苏宁环球,1,0,0
264,000723.SZ,723,美锦能源,1,4,1
265,000725.SZ,725,京东方A,1,0,0
268,000728.SZ,728,国元证券,1,0,0
292,000776.SZ,776,广发证券,3,0,0
298,000783.SZ,783,长江证券,2,0,0
313,000802.SZ,802,北京文化,5,0,0
347,000858.SZ,858,五粮液,9,0,0
356,000876.SZ,876,新希望,1,0,0
371,000895.SZ,895,双汇发展,2,0,0
373,000898.SZ,898,鞍钢股份,1,0,0
381,000908.SZ,908,景峰医药,6,12,1
398,000928.SZ,928,中钢国际,2,19,1
401,000931.SZ,931,中关村,5,0,0
402,000932.SZ,932,华菱钢铁,1,2,1
423,000966.SZ,966,长源电力,1,19,1
426,000969.SZ,969,安泰科技,1,1,1
440,000987.SZ,987,越秀金控,11,0,0
448,000998.SZ,998,隆平高科,8,0,0
452,001896.SZ,1896,豫能控股,3,19,1
478,002024.SZ,2024,苏宁易购,2,0,0
490,002036.SZ,2036,联创电子,2,0,0
498,002044.SZ,2044,美年健康,2,2,1
512,002058.SZ,2058,威尔泰,2,3,1
518,002064.SZ,2064,华峰化学,5,0,0
538,002085.SZ,2085,万丰奥威,2,0,0
557,002104.SZ,2104,恒宝股份,7,1,1
561,002108.SZ,2108,沧州明珠,1,0,0
580,002127.SZ,2127,南极电商,2,0,0
591,002138.SZ,2138,顺络电子,1,1,1
595,002142.SZ,2142,宁波银行,2,0,0
603,002151.SZ,2151,北斗星通,2,0,0
624,002172.SZ,2172,澳洋健康,1,10,1
629,002177.SZ,2177,御银股份,2,13,1
674,002223.SZ,2223,鱼跃医疗,11,0,0
681,002230.SZ,2230,科大讯飞,6,0,0
692,002241.SZ,2241,歌尔股份,2,0,0
720,002271.SZ,2271,东方雨虹,1,0,0
723,002274.SZ,2274,华昌化工,1,15,1
737,002288.SZ,2288,超华科技,2,0,0
753,002304.SZ,2304,洋河股份,9,0,0
830,002382.SZ,2382,蓝帆医疗,8,0,0
835,002387.SZ,2387,维信诺,1,0,0
863,002415.SZ,2415,海康威视,1,0,0
864,002416.SZ,2416,爱施德,1,2,1
883,002435.SZ,2435,长江健康,1,0,0
904,002457.SZ,2457,青龙管业,1,1,1
907,002460.SZ,2460,赣锋锂业,4,0,0
932,002486.SZ,2486,嘉麟杰,1,1,1
956,002511.SZ,2511,中顺洁柔,2,0,0
998,002554.SZ,2554,惠博普,1,19,1
999,002555.SZ,2555,三七互娱,1,2,1
1002,002558.SZ,2558,巨人网络,1,0,0
1012,002568.SZ,2568,百润股份,1,1,1
1014,002570.SZ,2570,贝因美,1,0,0
1016,002572.SZ,2572,索菲亚,1,0,0
1025,002581.SZ,2581,未名医药,3,0,0
1038,002594.SZ,2594,比亚迪,21,0,0
1045,002601.SZ,2601,龙蟒佰利,2,1,1
1046,002602.SZ,2602,世纪华通,1,0,0
1050,002607.SZ,2607,中公教育,1,0,0
1055,002612.SZ,2612,朗姿股份,2,19,1
1062,002619.SZ,2619,艾格拉斯,2,5,1
1101,002658.SZ,2658,雪迪龙,1,19,1
1113,002670.SZ,2670,国盛金控,1,2,1
1137,002695.SZ,2695,煌上煌,3,0,0
1174,002736.SZ,2736,国信证券,5,0,0
1175,002737.SZ,2737,葵花药业,1,0,0
1198,002762.SZ,2762,金发拉比,1,7,1
1208,002773.SZ,2773,康弘药业,1,1,1
